Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
While President,Bill Clinton sent only two official e-mails:one test message and one message to whom?	JOHN GLENN
In 2001,which of these people was named Honorary Sergeant,Regular Army by President Clinton?	SACAGAWEA
In 1902,Willis Carrier created modern air conditioning when he built a humidity controller for use where?	PRINTING SHOP
Which of the following men does not have a chemical element named for him?	ISAAC NEWTON
Though set at a fictional school,the 1978 comedy “Animal House” is based on a real frat at what college?	DARTMOUTH
What celestial object was named in 1930,by an eleven-year-old girl named Venetia Burney?	PLUTO
In the classic 1975 thriller “Jaws,”we see the deadly shark kill how many people on screen?	4 *CORRECT*
Which of these men was elected to the U.S. presidency despite losing the popular vote?	BENJAMIN HARRISON
Though not smelling as nice,onions are commonly classified in the same family as what flower?	LILY
What popular women’s magazine began in the 1930s as a menu leaflet handed out at A&P supermarkets?	WOMAN’S DAY
In 1973,what major tennis tournament became the first to offer equal prize money to both men and women?	U.S. OPEN
“Nephelococcygia” is the practice of doing what?	FINDING SHAPES IN CLOUDS
What Shakespeare play contains the famous line “The course of true love never did run smooth”?	A MIDSUMMER NIGHT’S DREAM
Diamonds being the hardest,which of these gems is the second hardest according to the Mohs scale?	SAPPHIRE
After nitrogen and oxygen,what is the third most abundant gas in air?	ARGON
To the delight of singles everywhere,SpeedDating was invented in 1998 by an individual with what profession?	RABBI
Icebergs that are the smallest in size are classified as what?	GROWLERS
In the 1600s philosopher Blaise Pascal devised a famous “wager” concerning what issue?	BELIEF IN GOD
Viewed from above the sun’s north pole,which of these planets is the only one to rotate clockwise?	VENUS
In Abbott and Costello’s famous “Who’s on first?” routine,what baseball position is never mentioned?	RIGHT FIELD
As chefs know,the two succulent bits of meat on the back of a chicken,just above the thigh,are called what?	OYSTERS
In Charlotte Bronte’s novel “Jane Eyre,” Jane’s planned wedding to Edward Rochester hits what snag?	HE’S ALREADY MARRIED
In the Hemingway story “The Old Man and the Sea,” what baseball player does the fisherman most admire?	JOE DIMAGGIO
Well known to coin collectors,the Toven Specimen is an extremely rare example of what type of coin?	PENNY
Prior to stardom,what actress worked as a funeral home cosmetician to make ends meet?	WHOOPI GOLDBERG
Which of these creatures are featured in Salvador Dali’s 1931 painting “The Persistence of Memory”?	ANTS
Known for her beauty,which of these historic ladies inspired the name of cosmetics retailer Sephora?	MOSES’ WIFE
On the California coast,what kind of fish is known for coming ashore and laying its eggs on the beach?	GRUNION
The only woman ever to be awarded the Medal of Honor received it for her service in what war?	U.S. CIVIL WAR
Introduced in 1847,the first two stamps issued by the USPS featured George Washington and what other American?	BENJAMIN FRANKLIN
Which of these insects shorted out an early supercomputer,giving rise to the term “computer bug”?	MOTH
What popular ski resort town was founded by the Union Pacific Railroad to boost winter ticket sales?	SUN VALLEY,ID *CORRECT*
In the boot-shaped country of Italy,what region comprises the “toe”?	CALABRIA
To a winemaker,a “bung” is a what?	CORK
What Dr.Seuss book character was loosely based on Adolf Hitler?	YERTLE THE TURTLE
What U.S. state’s lottery,introduced in 1964,is the oldest state-run lottery still in existance?	NEW HAMPSHIRE
Which of the following was not one of the nine original Beanie Babies introduced in 1993?	BOOTIES THE CAT
What popular TV host once appeared on an episode of “Star Trek:Enterprise” as “Alien Trader D’Marr”?	TOM BERGERON
When filled to capacity,what college’s football stadium becomes the third largest “city” in its state?	UNIVERSITY OF NEBRASKA
Warfarin,a popular blood thinner medication,was originally developed and is still used as a what?	RAT POISON
At the end of the 1984 movie “Romancing the Stone,”Jack Colton names his long-awaited sailboat what?	ANGELINA
Ronald Reagan once claimed that he was given the nickname “Dutch” in his childhood due to what?	“DUTCH BOY” HAIRCUT
Before becoming the go-to music industry magazine,Billboard focused on which of these subjects?	CARNIVALS
What classic novel is based on the adventures of Alexander Selkirk,an early 18th-century Scottish sailor?	ROBINSON CRUSOE
An iconic sports photo taken on May 25th,1965 depicts Muhammed Ali standing over what defeated opponent?	SONNY LISTON
In 1939,the tale of Rudolph the Red-Nosed Reindeer was created as a Christmas promotion for a what?	DEPARTMENT STORE
People who have a marked physical reaction to beautiful art are said to suffer from what syndrome?	STENDHAL SYNDROME
On Amelia Earhart’s historic 1932 solo flight across the Atlantic Ocean,she landed in what country?	IRELAND
In Cervantes’ “Don Quixote,” the main character becomes delusional after doing what?	READING TOO MANY BOOKS
“Diaphoresis” is a medical term for what condition,which might be caused by a difficult trivia question?	EXCESSIVE SWEATING
If it were named for its founders’ first names instead of their last,the Harley-Davidson company could be called what?	WILLIAM-ARTHUR
What author is credited with coining the phrase “seeing pink elephants” to refer to a drunk person?	JACK LONDON
In a 1970 speech,what group of people did Spiro Agnew famously describe as “nattering nabobs of negativism”?	THE MEDIA
What martial art’s name literally means “the gentle way”?	JUDO
The ’90s hit “Macarena” tells the story of a woman who cheats on her boyfriend,a man with what name?	VITORINO
The prop mask that the killer wears in the 1978 film “Halloween” is a painted mask of what TV character?	CAPTAIN KIRK
What Central American country was named by Columbus after the Spanish word for “depths”?	HONDURAS
Though not smelling as nice,onions are commonly classified in the same family as what flower?	LILY
Issued on March 4,1974,what celebrity appeared on the very first cover of People magazine?	MIA FARROW
Which of these cities is famous for its catacombs,underground tunnels used to house millions of skeletal remains?	PARIS
Originally named Farrokh Bulsara,Queen singer Freddie Mercury was born in what exotic location?	ZANZIBAR
Founded in 1865,what is the oldest continuously published weekly magazine in the United States?	THE NATION
What actress was “discovered” at a Canadian football game when her image appeared on the JumboTron?	PAMELA ANDERSON
In the 1997 movie “Titanic,” Jack wins passage onto the doomed vessel with what poker hand?	FULL HOUSE
The son of a jazz promoter,Billy Crystal was taken to his first movie by what legendary singer?	BILLIE HOLIDAY
The 1477 union of Archduke Maximilian of Austria and Mary of Burgundy allegedly begat what tradition?	DIAMOND ENGAGEMENT RING
In a famous ’90s TV ad,what is the name of the old woman who says “I’ve fallen,and I can’t get up”?	MRS.FLETCHER
In the 1920s,the term “makeup” was popularized by which of these cosmetics companies?	MAX FACTOR
In an iconic series of TV ads,who was the first NFL player to shout, “I’m going to Disneyland!”?	PHIL SIMMS
Since 2008,what author of “The Lottery” has lent her name to annual awards for horror and suspense writing?	SHIRLEY JACKSON
What real-life European castle and tourist attraction is the inspiration for Disneyland’s Sleeping Beauty castle?	NEUSCHWANSTEIN CASTLE
Which of these foreign greetings derives from a phrase meaning “I am your slave”?	CIAO
“Sparks” are often visible when you bite into “Wint O Green” Life Savers due to the presence of what?	METHYL SALICYLATE
Mexico shares its southern border with Guatemala and what other country?	BELIZE
As revealed in the series finale of “Seinfeld,” what is the Soup Nazi’s name?	YEV KASEM
Before becoming an international singing star,Julio Iglesias briefly played what sport professionally?	SOCCER
In the garment industry,what characteristic of a sports jacket is referred to as its “stance”?	BUTTON POSITION
Most scholars agree Columbus first landed in the New World on coastline now part of what country?	BAHAMAS
As specified on his twitter page,Barbie’s boyfriend Ken has what last name?	CARSON
Before switching career paths,what prominent American studied clarinet performance at Juilliard?	ALAN GREENSPAN
In 2009,after decades of secrecy,Mrs.Butterworth’s first name was revealed to be what?	JOY
In 1951,what U.S. agency first used a UNIVAC,the first commercial computer,to process information?	CENSUS BUREAU *CORRECT*
A popular novelty item since the ’60s, lava lamps primarily contain water and what colored “lava-like” substance?	WAX
In the movie “Pulp Fiction,” Samuel L. Jackson’s character memorably quotes what book of the Bible?	EZEKIEL
In the Grimm’s fairy tale,the Pied Piper of Hamelin is described as “pied” because he does what?	WEARS COLORFUL CLOTHING
Though they’ve all been in more than one,which of these actors has appeared in the most Spike Lee films?	JOHN TURTURRO
Costing about $2,500 as of 2010,the Tata Nano is a car built and targeted for sale chiefly in what country?	INDIA
As of 2010,which of these countries has elected not one,but two,female presidents in its history?	PHILLIPPINES
What do the six flags historically stand for in the Six Flags amusement park chain?	GOVERNMENTS OF TEXAS
In 1871, Henry Stanley found explorer David Livingstone in Ujiji,a town in what modern country?	TANZANIA
Girl detective Nancy Drew made her debut in the 1930 book titled “The Secret of the” what?	OLD CLOCK
Expressed using old-fashioned slang terms for money,which amount is equal to twenty dollars?	ONE SAWBUCK & TWO FINS
Commonly used in the shower, a loofah is the fibrous interior of which of the following?	TROPICAL GOURD
Roughly how far apart are Tora Bora and Bora Bora?	9690 MILES *CORRECT*
Which of these artists is notorious for singing through Auto-Tune pitch correction software?	TPAIN
So named because it was once believed to cure kidney stones, nephrite is a mineral also known as what?	JADE
In the classic 1942 movie “Bambi,” what is Bambi’s first word?	BIRD
Selling 5 million copies in just two days,what Ernest Hemingway work was first published in Life magazine?	THE OLD MAN AND THE SEA
How many U.S. state capitals have the word “city” in their name?	4 *CORRECT*
In the classic 1942 movie “Bambi,” what is Bambi’s first word?	BIRD
In Travel & Leisure’s 2010 survey, what city unseated Miami as having the most attractive residents in the U.S.?	CHARLESTON
In his illustrious career as a daredevil, Evel Knievel attempted to jump all but which of these obstacles?	74 NEW YORK CABS
The famous 4-note opening to Beethoven’s Fifth Symphony consists of three quick G notes followed by a long what?	E FLAT
Which of these names never appeared on the infamous “enemies list” kept by Nixon’s White House counsel?	WALTER MATTHEU
What are the dimensions of Leonardo da Vinci’s famous painting, “Mona Lisa”?	30 TALL BY 21 WIDE
Famous pediatrician and author Dr. Benjamin Spock won an Olympic gold medal in what sport?	ROWING
Founded in 1885, Washington, D.C.’s Gridiron Club is a prestigious organization for what professionals?	JOURNALISTS
Which of these monarchs is the only one to have ruled England longer than than its current queen, Elizabeth II?	VICTORIA
In all seriousness, the satirical newspaper The Onion has tried and failed to win what prestigious journalism award?	PULITZER PRIZE
Who is the only character mentioned by name in the famous opening crawl at the start of the 1977 movie “Star Wars”?	PRINCESS LEIA
The melody for the wedding song known as “Here Comes The Bride” is from what Wagner opera?	LOHENGRIN
The name of a type of Asian dumpling, “won ton” is Chinese for what two words?	CLOUD,SWALLOW
For a device he created that aids “Buoying Vessels Over Shoals,” who is the only U.S. president ever awarded a patent?	ABRAHAM LINCOLN
Unlike its source material, which of these ’90s film adaptations features a happy ending?	THE SCARLET LETTER
Used to describe a carefree lifestyle, “bohemian” refers to an area in what modern day country?	CZECH REPUBLIC
A classic episode of “Cheers” features Coach singing a song about Albania to the tune of what standard?	WHEN THE SAINTS GO MARCHING IN
In the series finale of “M*A*S*H*,” the last aerial shot reveals what word spelled out in stones on the launch pad?	GOODBYE
Inspired by a 1,400-pound gift given to Andrew Jackson,on “The West Wing” President Bartlet held what special workday?	BIG BLOCK OF CHEESE DAY
Starring Art Carney as a police chief who uses his best friend to help him solve crime,a short-lived 1977 series had what name?	LANIGAN’S RABBI
Which of these legendary baseball players had a dramatic end to his career,famously hitting a home run at his last at-bat?	TED WILLIAMS
In a campy “Dynasty” cliffhanger,several main characters are gunned down during Amanda’s wedding to a prince from where?	MOLDAVIA
The Tesla Roadster,the world’s first electric sports car,is named for Nikola Tesla,the inventor of the what?	ALTERNATING CURRENT MOTOR
Murdered in 1985,zoologist Dian Fossey was buried with more than a dozen of her gorillas in what country?	RWANDA
Published in 1936,the first issue of Life magazine had a Margaret Bourke-White photo of a what on its cover?	DAM
Though born in the U.S.,which of these film directors is an English Baron?	CHRISTOPHER GUEST
While the first music video ever to air on MTV was by The Buggles,the second was by whom?	PAT BENATAR
To complete the Ironman Triathlon,one must swim,bike and run about how many miles in total?	140 *CORRECT*
Which of these medical conditions is also known as “telangiectasia”?	SPIDER VEINS
In 2008, what one word did Google add to its sparse home page in order to conform with California law?	PRIVACY
Of these famous children’s book authors, who was the only one to have had children?	ROALD DAHL
In its 30 years of flight ending in 2011, NASA’s Space Shuttle Program flew how many missions?	135 *CORRECT
Which of these is the title of an unfinished Mark Twain novel, first published 59 years after his death?	TOM SAWYER’S CONSPIRACY
A phillumenist is a collector of what?	MATCHBOOKS
Where would you likely find the warning “Contains Phenylalanine”?	CAN OF DIET SODA
From 2005 to 2011, what movie held the top spot as Netflix’s most rented DVD?	CRASH
In 1997, in the first known “space funeral,” whose ashes were released from a rocket into space?	TIMOTHY LEARY
The word “plagiarism” comes from the Latin word “plagiarius,” meaning what?	KIDNAPPER
Which person is not one of the seven to have been granted honorary U.S. citizenship by Congress?	MAHATMA GANDHI
In 2009, Barack Obama won the Nobel Peace Prize,the first sitting U.S. president to do so since whom?	WOODROW WILSON
Boasting over 200 film credits,whom does Guinness list as “the most portrayed character in film”?	SHERLOCK HOLMES
What Elvis Presley song was originally a hit for blues singer Willie Mae “Big Mama” Thornton in 1953?	HOUND DOG
Suriphobia,which has nothing to do with the daughter of Tom Cruise and Katie Holmes,is the fear of what?	MICE
How many workers sit on a steel beam hundreds of feet in the air in the iconic 1932 photo “Lunch atop a Skyscraper”?	11 *CORRECT*
After calcium,what is the second-most abundant mineral in the human body?	PHOSPHORUS
Until they were also discovered in Brazil in the 1720s,most of the world’s diamonds came from what country?	INDIA
On the list of modern wedding anniversary gifts,what is given instead of the traditional first-year gift of paper?	CLOCKS
TV’s “The Simpsons” is set in fictional Springfield,a sly reference to the locale of what ’50s sitcom?	FATHER KNOWS BEST
Because its thick atmosphere filters out blue light,the surface of Venus appears to be mainly what color?	ORANGE
Martin Luther King,Jr. once famously said, “The arc of the moral universe is long,but it bends towards” what?	JUSTICE
Bromhidrosis is more commonly called what?	BODY ODOR
As of 2011,what is Africa’s most populous country?	NIGERIA
Though it has since expired,in 1977 a patent was successfully obtained for which of these hairstyles?	COMBOVER
More common than “First” or “Main,” what is the most popular street name in the U.S.?	SECOND
The $1,000 bill,which the U.S. stopped circulating in 1969,features a portrait of what president?	GROVER CLEVELAND
The first X-ray photograph taken of the human body was an image of the hand of what scientist’s wife?	WILHELM ROENTGEN
In 1969,who became the first celebrity to make a guest appearance on “Sesame Street”?	JAMES EARL JONES
The first LEGOLAND theme park opened in 1968 in what country?	DENMARK
Strawberry Field,a favorite childhood hangout of John Lennon’s,was what kind of establishment?	ORPHANAGE
Neander Valley,where original Neanderthal man remains were found,is located in what country?	GERMANY
Boasting over 200 film credits, whom does Guiness list as “the most portrayed character in film”?	SHERLOCK HOLMES
What event inspired the world’s first ticker-tape parade?	STATUE OF LIBERTY DEDICATION
Which of these family TV sitcoms featured a married couple that was actually married in real life?	WEBSTER
What baseball player was the first to have his signature printed on a Louisville Slugger bat?	HONUS WAGNER
In France,the English Channel is known as “La Manche,” meaning what?	THE SLEEVE
The Sazerac,a mix of rye whiskey,bitters and absinthe,is the official cocktail of what U.S. city?	NEW ORLEANS
Misinterpreted by Charles Manson, the Beatles song “Helter Skelter” alludes to what childhood amusement?	SLIDE
Debuting in 1997,what hunky actor was the very first celebrity guest on the long-running talk show “The View”?	TOM SELLECK
Which of these objects must weigh between 3 pounds,6 ounces and 3 pounds, 10 ounces?	AN OFFICIAL BOWLING PIN
What author’s tombstone reads “So we beat on,boats against the current,borne back ceaselessly into the past”?	F. SCOTT FITZGERALD
What famously quotable female head of state once told her foreign minister, “Don’t be so humble–you’re not that great”?	GOLDA MEIR
On the human body,a second toe that is longer than the big toe is a harmless condition known as what?	MORTON’S TOE
Which of these planets’ average orbital paths come closest to one another?	VENUS AND EARTH
Of these classic literary works,which is the only one completed by its author before his death?	THE DIVINE COMEDY
If you’re good at the Kevin Bacon game,you can connect Marlon Brando directly to Kevin Bacon through which actor?	ROBERT DE NIRO
Which of these classic novels was first published when the author was only twenty years old?	FRANKENSTEIN
As of 2011,which of the following has never been a flavor of Ben & Jerry’s ice cream?	DREAM A LITTLE CREAM
What well-known organization has the motto “For the benefit of all”?	NASA *CORRECT*
The rarely heard second verse of “The Star-Spangled Banner” begins what with phrase?	ON THE SHORE,DIMLY SEEN
Which of these adjectives is not one of the twelve featured in the Boy Scout Law?	CAREFUL
Before he adopted the “J,” what was Michael J. Fox’s middle name?	ANDREW
Where are Fraunhofer lines?	AROUND THE SUN
Though it’s now known as “The Thinker,” sculptor Auguste Rodin once gave his iconic statue what title?	THE POET
The prehistoric archaeopteryx is believed by many scientists to be an early specimen of which of these animal types?	BIRDS
In an infamous act of betrayal, Benedict Arnold arranged to surrender what military base to the British?	WEST POINT
According to the Census Bureau,when was the world’s population approximately half of its 2012 total?	1967 *CORRECT*
What company’s stock has been a part of the Dow Jones Industrial Average the longest?	GENERAL ELECTRIC
Which of these dishes is named in honor of an Italian opera singer who was famous in the early 1900s?	TURKEY TETRAZZINI
In “The Catcher in the Rye,” Holden Caulfield wanders Manhattan,visiting all but which of these famous NYC locales?	EMPIRE STATE BUILDING
As of 2011,which of the following is not the name of a color found in a 120-count box of Crayola crayons?	GRAY MATTER
What U.S. president was shot at twice at point-blank range,but survived because both guns misfired?	ANDREW JACKSON
What video game character lent its name to a human gene that affects finger and toe placement?	SONIC THE HEDGEHOG
The first thirteen games of the ancient Olympics featured what sole event?	FOOTRACE
What automaker’s name is a word that means “modern” in its home country?	HYUNDAI
In Abbott & Costello’s famous “Who’s on First?” routine, what is the name of the team being discussed?	ST. LOUIS WOLVES
Who was the first U.S. president born a citizen of the newly independent United States of America?	MARTIN VAN BUREN
In 1920,the infamous con man Charles Ponzi duped investors in a fraudulent scheme involving what?	POSTAGE STAMPS
In “The Godfather,” Michael Corleone learns his father has been shot after taking Kay to see what film?	THE BELLS OF ST.MARY’S
Which of these classic literary characters were created by the same author?	DR.JEKYLL & LONG JOHN SILVER
What culture’s mythology holds that all life was created during a period known as “dreamtime”?	ABORIGINE
The “Pepperidge” in the name of the Pepperidge farm brand of baked goods refers to a what?	TYPE OF TREE
Which of these Best Picture-winning films features an Oscar statuette as a prop in one of its scenes?	THE GODFATHER
In the 1890s,heroin was introduced commercially to the U.S. by Bayer as a remedy for what ailment?	PERSISTENT COUGH
By tradition, what dish has been served daily at the restaurant of the U.S. Senate since the early 1900s?	BEAN SOUP
In 1980, the first 1-900 number was used for what television event?	REAGAN-CARTER DEBATE
On its fateful night,what precursor to “SOS” did the Titanic use when it first signaled on its radio for help?	CQD *CORRECT*
In the 1982 movie “Diner,” what is the name of the diner where the main characters hang out?	FELLS POINT DINER
What state is home to Northwest Angle,the only land in the lower 48 states that is north of the 49th parallel?	MINNESOTA
Which of these government agencies is headquartered in Atlanta?	CDC *CORRECT*
Winner of the 2011 “Celebrity Apprentice,” country star John Rich competed against all but which of these celebrities?	SINBAD
At the Royal Wedding,William and Kate shared a romantic balcony kiss as Grace,William’s 3-year old goddaughter,did what?	COVERED HER EARS
In psychology,the tendency for people to believe they are above average is an “effect” named after what fictional town?	LAKE WOBEGON
What U.S. president’s farewell address famously warned Americans against the “military-industrial complex”?	DWIGHT D. EISENHOWER
If you added Jackie Robinson’s Dodgers jersey number to Babe Ruth’s Yankees jersey number,what “sum” would you get?	45 *CORRECT*
In an infamous act of betrayal, Benedict Arnold arranged to surrender what military base to the British?	WEST POINT
In his famous 1997 acceptance speech,an excited Cuba Gooding,Jr. used what phrase 14 times?	I LOVE YOU
Which of these Oscar-winning musicals stars a lead actress whose singing parts were largely dubbed?	MY FAIR LADY
According to James Cameron’s “Titanic,” paintings by all but which of these notable artists went down with the doomed vessel?	GEORGES SEURAT
In “Driving Miss Daisy,” the first car that Hoke drives Miss Daisy in is a 1949 what?	HUDSON COMMODORE
In the classic 1939 film “Gone With The Wind,” a “slap happy” Scarlett O’Hara wallops all but which of these characters?	MELANIE
In his Oscar-nominated role in “Tootsie,” Dustin Hoffman’s character dons a dress to land a part on what fictional soap?	SOUTHWEST GENERAL
Which of these is the title of two different movies–one nominated for Best Picture in 1953 and the other in 2002?	MOULIN ROUGE
Appearing briefly in the 2000 film about her life,the real Erin Brockovich is credited as “Julia,the” what?	WAITRESS
In the 2005 film “Brokeback Mountain,” Ennis’ only keepsake of his relationship with Jack is Jack’s old what?	DENIM SHIRT
In a scene from “One Flew Over The Cuckoo’s Nest,” the mental patients stare at a blank TV screen and pretend to watch what?	THE WORLD SERIES
In “Pulp Fiction,” Christopher Walken delivers a humorous monologue about what treasured object?	A WATCH
What Oscar-winning film features the line “I believe God made me for a purpose,but he also made me fast”?	CHARIOTS OF FIRE
At the end of “The Deer Hunter,” Meryl Streep’s character leads the other mourners in a rendition of what song?	GOD BLESS AMERICA
In the 1999 film “American Beauty,” Lester Burnham quits his job as an ad executive to work at what fictitious fast food joint?	MR. SMILEY’S
According to Pixar,when the house in “Up” floated across South America, how many balloons were holding it up?	10,297 *CORRECT*
Which of these actors won an Oscar for a role in which he had a beard?	ROBIN WILLIAMS
The title of the Academy Award-winning song from “Slumdog Millionaire,” “Jai Ho” roughly means what in Hindi?	LET THERE BE VICTORY
Shot in 1962,Marilyn Monroe’s last film before her death was an unfinished screwball comedy with Dean Martin called what?	SOMETHING’S GOT TO GIVE
Which of these films is not a so-called “Big Five” film,a film that won Oscars in all top five categories?	ANNIE HALL
In its shocking twist ending,what character name in “The Usual Suspects” is revealed to have come from the bottom of a coffee cup?	KOBAYASHI
In “The Godfather,” using a gun hidden in the restroom,Michael murders his father’s assassins in what Italian restaurant?	LOUIS’
In a possible allusion to “Casablanca,” a scene in “The Sting” involves a rigged roulette wheel landing on what?	BLACK 22
While singing the title song in “Singin’ In the Rain,” Gene Kelly dances by all but which of these establishments?	LAUNDROMAT
Perhaps because he only ever won one competitive Oscar,whose statuette sold at a 2011 auction for almost a million dollars?	ORSON WELLES
Anthony Hopkins has said Hannibal Lecter’s voice is a mix of Truman Capote,Kate Hepburn,and what movie character?	HAL 9000 *CORRECT*
Aside from voiceover narration,which of these actresses won her Oscar for a primarily non-speaking role?	HOLLY HUNTER
Which of these movies was nominated for 11 Academy Awards,only to win none of them?	THE COLOR PURPLE
The only person named “Oscar” ever to win an Oscar won in both 1942 and 1946 in what category?	BEST SONG
Which of these legendary actors is the only one to not appear in three different Best Picture Oscar-winning films?	AL PACINO
In the 2002 film “Catch Me If You Can,” Leonardo DiCaprio uses what comic book character’s name as an alias?	BARRY ALLEN
The oldest living Oscar winner is 102-year-old Luise Rainer,who won her first statuette in 1937 for what movie?	THE GREAT ZIEGFELD
In “Moonstruck,” Cher’s character says “You know,I don’t think she was gonna die,” after being taken to what Italian opera?	LA BOHEME
Known for creating strong female characters,Woody Allen’s films have earned Oscars for all but which of these actresses?	JENNIFER TILLY
The youngest actor ever nominated for an Oscar was 8-year-old Justin Henry,who played the kid in what movie?	KRAMER VS.KRAMER
Boy,I got vision,and the rest of the world wears bifocals is a famous line from which of these classic Paul Newman movies?	BUTCH CASSIDY & THE SUNDANCE KID
The movie “Sideways” ends with Paul Giamatti’s character finally uncorking his prized possession,a bottle of what wine?	1961 CHEVAL BLANC
According to George Lucas,what character in 1977’s “Star Wars” is the “driving force in the movie…the object of everybody’s search”?	R2-D2 *CORRECT*
An Oscar winner for Best Screenplay,which of these slangy phrases does not appear in the very slangy film “Juno”?	IT’S A PASSPORT TO JERSEY
Said by Elizabeth Taylor in an Oscar-winning performance, “What a dump!” is originally a line from what Bette Davis film?	BEYOND THE FOREST
According to Hollywood lore,what 2007 Eddie Murphy critical flop ruined his chances of winning an Oscar for “Dreamgirls”?	NORBIT
Which of these Oscar-winning actresses won their statuette on their first nomination?	CHARLIZE THERON
In the infamous 1974 streaking incident, what surprised presenter quipped of the prankster’s “shortcomings”?	DAVID NIVEN
Though the scene didn’t end up in the final cut,what Oscar-nominated film originally ended with an enormous pie fight?	DR. STRANGELOVE
According to Harrison Ford,it came down to him and what other actor and “great dancer” to play Hans Solo in “Star Wars”?	CHRISTOPHER WALKEN
In his brief career,actor John Cazale appeared in just 5 movies,all Oscar-nominated,including all but which of these?	TAXI DRIVER
Ending with a “beautiful friendship,” what’s the first part of the famous last line of “Casablanca”?	I THINK IT IS THE BEGINNING OF
In the classic film “Citizen Kane,” what is the name of the sled that replaces Kane’s beloved Rosebud?	THE CRUSADER
Who beat out Jessica Tandy as the oldest winner of an Academy Award?	GEORGE BURNS
In “Dances With Wolves,” what was the wolf’s name that Kevin Costner danced with?	2 SOCKS
What Oscar-nominated actor made his big-screen debut as Duke the Dog-Faced Boy in 1988’s “Big Top Pee-wee”?	BENICIO DEL TORO
The host of the Oscars who made a comment about someone streaking was?	DAVID NIVEN
What does Diane Keaton say right before saying “La dee dah”?	“OH WELL”
According to the Academy,what actor was the first to receive a posthumous Oscar nomination?	JAMES DEAN
All but which of these famous movie lines earned its speaker an Academy Award for that role?	“I SEE DEAD PEOPLE.”
“This is my rifle.There are many like it,but this one is mine” is a famous line from what Oscar-nominated war movie?	FULL METAL JACKET
In the Oscar-winning film “The English Patient,” what object does Laszlo give Katharine as a symbol of their illicit love?	THIMBLE
As of 2012,which of these musical artists has never won an Oscar for Best Original Song?	BONO
In “Rocky,” the “Italian Stallion” painfully battles Apollo Creed for a total of how many rounds?	15 *CORRECT*
In “The Graduate,” what is the name of the hotel where Benjamin and Mrs.Robinson have their trysts?	THE TAFT
In “Silence of The Lambs,” Hannibal Lecter recounts a meal of fava beans,chianti and the liver of what unfortunate visitor?	CENSUS TAKER
For a climactic scene in the film “Suspicion,” Alfred Hitchcock famously hid an illuminated light bulb inside a what?	GLASS OF MILK
Which of these nationality-related words has never appeared in the title of a film that won the Oscar for Best Picture?	GERMAN
Though he would grow up to win an Oscar,as a kid what actor had Ball’s Palsy,a condition that partially paralyzes the face?	GEORGE CLOONEY
The only person named “Oscar” ever to win an Oscar won in both 1942 and 1946 in what category?	BEST SONG
In an act of protest,Marlon Brando sent what Native American woman to refuse his Oscar for “The Godfather”?	SACHEEN LITTLEFEATHER
According to Billy Crystal, when he hosts the Oscars,he keeps what toiletry item in his pocket as a good-luck charm?	TOOTHBRUSH
In “It’s a Wonderful Life,” George receives a message from his guardian angel inscribed in what book?	THE ADVENTURES OF TOM SAWYER
Exuberant recipients often comment on the heaviness of the Oscar statuette,which weighs in at what?	8 1/2 POUNDS *CORRECT*
Which of these “good” movies was good enough to win two Academy Awards?	GOOD WILL HUNTING
According to his autobiography,which of these Oscar-nominated films is Bill Clinton’s favorite movie?	HIGH NOON
Which of these directors is credited in one of his own Oscar-nominated films as “Man with Knife”?	ROMAN POLANSKI
Who was the first Australian-born actor to win an Academy Award?	GEOFFREY RUSH
In a famous line from the film “Amadeus,” Emperor Joseph II critiques Mozart’s latest composition by saying it has what?	TOO MANY NOTES
What Oscar-winning director’s first feature-length film was the 1981 low-budget horror flick “Piranha 2:The Spawning”?	JAMES CAMERON
Melissa McCarthy has revealed that she based her Oscar-nominated role in “Bridesmaids” on what male celebrity?	GUY FIERI
In the film “Crash,” Anthony and Peter carjack which of the following vehicles?	LINCOLN NAVIGATOR
In “Rain Man,” the Best Picture of 1988,Beatles fan Raymond bonds with his brother singing what classic tune?	I SAW HER STANDING THERE
In “The Blind Side,” Kathy Bates’ “Miss Sue” tells Michael Oher that what school’s football field is full of dead body parts?	UNIVERSITY OF TENNESSEE
The acclaimed 1976 satirical film “Network” centers on what fictional network?	UBS *CORRECT*
What is the only character in film that has won two different actors the Academy Award?	VITO CORLEONE
In the 1994 film “Forrest Gump,” Forrest makes millions through an early investment in what company?	APPLE COMPUTERS
As of 2012,actors have won Oscars for playing all but which of the following British monarchs?	GEORGE V *CORRECT*
In what year did Joan Rivers first dish out one-liners in Oscars red carpet coverage for E!?	1996 *CORRECT*
In both 2002’s “Chicago” and 2003’s “Bringing Down The House,” Queen Latifah plays a character with what last name?	MORTON
In 1990,80-year-old Jessica Tandy broke whose record to become the oldest actor to win an Academy Award?	GEORGE BURNS
The Oscar-winning animated film “Wall-E” prominently features footage of what Oscar-nominated movie musical?	HELLO,DOLLY!
In 1986,which of these famous families became the first to have three generations of Oscar winners?	THE HUSTONS
In a famous scene from the 1960 classic film “The Apartment,” Jack Lemmon’s character strains spaghetti with his what?	TENNIS RACKET
For which of these classic films did every single one of its credited cast members receive an Oscar nomination?	WHO’S AFRAID OF VIRGINIA WOOLF?
What is the only Central American nation with English as its official language?	BELIZE
